Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
,1-2 years,2-Jan,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Male,M,490,0.07%
,1-2 years,2-Jan,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Unknown,U,43,0.01%
Total,1-2 years,2-Jan,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,,,940,0.14%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Male,M,3,0.00%
Total,1-2 years,2-Jan,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,,,3,0.00%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Female,F,2314,0.34%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Male,M,2529,0.37%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Unknown,U,58,0.01%
Total,1-2 years,2-Jan,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,,,4901,0.72%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Female,F,3840,0.57%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Male,M,4201,0.62%
,1-2 years,2-Jan,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Unknown,U,80,0.01%
Total,1-2 years,2-Jan,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,,,8121,1.20%
,1-2 years,2-Jan,POLIOVIRUS VACCINE INACTIVATED,IPV,Female,F,1952,0.29%
,1-2 years,2-Jan,POLIOVIRUS VACCINE INACTIVATED,IPV,Male,M,2304,0.34%
,1-2 years,2-Jan,POLIOVIRUS VACCINE INACTIVATED,IPV,Unknown,U,45,0.01%
Total,1-2 years,2-Jan,POLIOVIRUS VACCINE INACTIVATED,IPV,,,4301,0.63%
,1-2 years,2-Jan,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Female,F,2489,0.37%
,1-2 years,2-Jan,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Male,M,2779,0.41%
,1-2 years,2-Jan,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Unknown,U,58,0.01%
Total,1-2 years,2-Jan,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,,,5326,0.79%
,1-2 years,2-Jan,RABIES VIRUS VACCINE,RAB,Female,F,27,0.00%
,1-2 years,2-Jan,RABIES VIRUS VACCINE,RAB,Male,M,24,0.00%
Total,1-2 years,2-Jan,RABIES VIRUS VACCINE,RAB,,,51,0.01%
,1-2 years,2-Jan,ROTAVIRUS (NO BRAND NAME),RVX,Female,F,6,0.00%
,1-2 years,2-Jan,ROTAVIRUS (NO BRAND NAME),RVX,Male,M,4,0.00%
Total,1-2 years,2-Jan,ROTAVIRUS (NO BRAND NAME),RVX,,,10,0.00%
,1-2 years,2-Jan,ROTAVIRUS VACCINE (ROTASHIELD),RV,Female,F,4,0.00%
,1-2 years,2-Jan,ROTAVIRUS VACCINE (ROTASHIELD),RV,Male,M,12,0.00%
,1-2 years,2-Jan,ROTAVIRUS VACCINE (ROTASHIELD),RV,Unknown,U,1,0.00%
Total,1-2 years,2-Jan,ROTAVIRUS VACCINE (ROTASHIELD),RV,,,17,0.00%
,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Female,F,3,0.00%
,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Male,M,8,0.00%
Total,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,,,11,0.00%
,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Female,F,47,0.01%
,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Male,M,63,0.01%
,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Unknown,U,41,0.01%
Total,1-2 years,2-Jan,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,,,151,0.02%
,1-2 years,2-Jan,RUBELLA VACCINE,RUB,Female,F,17,0.00%
,1-2 years,2-Jan,RUBELLA VACCINE,RUB,Male,M,26,0.00%
,1-2 years,2-Jan,RUBELLA VACCINE,RUB,Unknown,U,2,0.00%
Total,1-2 years,2-Jan,RUBELLA VACCINE,RUB,,,45,0.01%
,1-2 years,2-Jan,SMALLPOX VACCINE,SMALL,Female,F,7,0.00%
,1-2 years,2-Jan,SMALLPOX VACCINE,SMALL,Male,M,6,0.00%
Total,1-2 years,2-Jan,SMALLPOX VACCINE,SMALL,,,13,0.00%
,1-2 years,2-Jan,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Female,F,114,0.02%
,1-2 years,2-Jan,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Male,M,105,0.02%
,1-2 years,2-Jan,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Unknown,U,23,0.00%
Total,1-2 years,2-Jan,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,,,242,0.04%
,1-2 years,2-Jan,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Female,F,32,0.00%
,1-2 years,2-Jan,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Male,M,28,0.00%
,1-2 years,2-Jan,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Unknown,U,6,0.00%
Total,1-2 years,2-Jan,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,,,66,0.01%
,1-2 years,2-Jan,TETANUS TOXOID,TTOX,Female,F,13,0.00%
,1-2 years,2-Jan,TETANUS TOXOID,TTOX,Male,M,16,0.00%
,1-2 years,2-Jan,TETANUS TOXOID,TTOX,Unknown,U,1,0.00%
Total,1-2 years,2-Jan,TETANUS TOXOID,TTOX,,,30,0.00%
,1-2 years,2-Jan,"TETANUS, DIPHTHERIA AND ACELLULAR PERTUSSIS, AND INACTIVATED POLIO VIRUS",TDAPIPV,Male,M,1,0.00%
Total,1-2 years,2-Jan,"TETANUS, DIPHTHERIA AND ACELLULAR PERTUSSIS, AND INACTIVATED POLIO VIRUS",TDAPIPV,,,1,0.00%
,1-2 years,2-Jan,TETRAMUNE,DTAPH,Female,F,195,0.03%
,1-2 years,2-Jan,TETRAMUNE,DTAPH,Male,M,244,0.04%
,1-2 years,2-Jan,TETRAMUNE,DTAPH,Unknown,U,1,0.00%
Total,1-2 years,2-Jan,TETRAMUNE,DTAPH,,,440,0.06%
,1-2 years,2-Jan,TYPHOID VACCINE,TYP,Female,F,37,0.01%
,1-2 years,2-Jan,TYPHOID VACCINE,TYP,Male,M,37,0.01%
,1-2 years,2-Jan,TYPHOID VACCINE,TYP,Unknown,U,2,0.00%
Total,1-2 years,2-Jan,TYPHOID VACCINE,TYP,,,76,0.01%
,1-2 years,2-Jan,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Female,F,11608,1.71%
,1-2 years,2-Jan,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Male,M,12309,1.81%
,1-2 years,2-Jan,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Unknown,U,1343,0.20%
Total,1-2 years,2-Jan,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,,,25260,3.72%
,1-2 years,2-Jan,YELLOW FEVER VACCINE,YF,Female,F,9,0.00%
,1-2 years,2-Jan,YELLOW FEVER VACCINE,YF,Male,M,11,0.00%
,1-2 years,2-Jan,YELLOW FEVER VACCINE,YF,Unknown,U,1,0.00%
Total,1-2 years,2-Jan,YELLOW FEVER VACCINE,YF,,,21,0.00%
,1-2 years,2-Jan,ZOSTER VACCINE,VARZOS,Female,F,60,0.01%
,1-2 years,2-Jan,ZOSTER VACCINE,VARZOS,Male,M,67,0.01%
,1-2 years,2-Jan,ZOSTER VACCINE,VARZOS,Unknown,U,57,0.01%
Total,1-2 years,2-Jan,ZOSTER VACCINE,VARZOS,,,184,0.03%
,1-2 years,2-Jan,UNKNOWN VACCINES,UNK,Female,F,198,0.03%
,1-2 years,2-Jan,UNKNOWN VACCINES,UNK,Male,M,227,0.03%
,1-2 years,2-Jan,UNKNOWN VACCINES,UNK,Unknown,U,9,0.00%
Total,1-2 years,2-Jan,UNKNOWN VACCINES,UNK,,,434,0.06%
Total,1-2 years,2-Jan,,,,,145005,21.38%
,3-5 years,5-Mar,ANTHRAX VACCINE,ANTH,Female,F,1,0.00%
,3-5 years,5-Mar,ANTHRAX VACCINE,ANTH,Male,M,4,0.00%
,3-5 years,5-Mar,ANTHRAX VACCINE,ANTH,Unknown,U,1,0.00%
Total,3-5 years,5-Mar,ANTHRAX VACCINE,ANTH,,,6,0.00%
,3-5 years,5-Mar,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Female,F,5,0.00%
,3-5 years,5-Mar,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Male,M,4,0.00%
Total,3-5 years,5-Mar,BACILLUS CALMETTE-GUERIN VACCINE,BCG,,,9,0.00%
,3-5 years,5-Mar,CHOLERA VACCINE,CHOL,Female,F,1,0.00%
,3-5 years,5-Mar,CHOLERA VACCINE,CHOL,Male,M,1,0.00%
,3-5 years,5-Mar,CHOLERA VACCINE,CHOL,Unknown,U,1,0.00%
Total,3-5 years,5-Mar,CHOLERA VACCINE,CHOL,,,3,0.00%
,3-5 years,5-Mar,COMVAX,HBHEPB,Female,F,82,0.01%
,3-5 years,5-Mar,COMVAX,HBHEPB,Male,M,69,0.01%
,3-5 years,5-Mar,COMVAX,HBHEPB,Unknown,U,6,0.00%
Total,3-5 years,5-Mar,COMVAX,HBHEPB,,,157,0.02%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Female,F,4,0.00%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Male,M,4,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,,,8,0.00%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Female,F,10556,1.56%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Male,M,11816,1.74%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Unknown,U,296,0.04%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,,,22668,3.34%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Female,F,3136,0.46%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Male,M,3412,0.50%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Unknown,U,78,0.01%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,,,6626,0.98%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Female,F,368,0.05%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Male,M,365,0.05%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Unknown,U,20,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,,,753,0.11%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Female,F,171,0.03%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Male,M,171,0.03%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,Unknown,U,19,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE,DTAPIPVHIB,,,361,0.05%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Female,F,1632,0.24%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Male,M,1706,0.25%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Unknown,U,34,0.01%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,,,3372,0.50%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Female,F,2,0.00%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,Male,M,1,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE),DTPPHIB,,,3,0.00%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Female,F,94,0.01%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Male,M,78,0.01%
,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Unknown,U,4,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,,,176,0.03%
,3-5 years,5-Mar,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Female,F,146,0.02%
,3-5 years,5-Mar,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Male,M,211,0.03%
,3-5 years,5-Mar,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Unknown,U,7,0.00%
Total,3-5 years,5-Mar,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,,,364,0.05%
,3-5 years,5-Mar,DIPHTHERIA TOXOID,DTOX,Female,F,4,0.00%
,3-5 years,5-Mar,DIPHTHERIA TOXOID,DTOX,Male,M,2,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA TOXOID,DTOX,,,6,0.00%
,3-5 years,5-Mar,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Female,F,18,0.00%
,3-5 years,5-Mar,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Male,M,17,0.00%
,3-5 years,5-Mar,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Unknown,U,1,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,,,36,0.01%
,3-5 years,5-Mar,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Female,F,2,0.00%
,3-5 years,5-Mar,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Male,M,2,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,,,4,0.00%
,3-5 years,5-Mar,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Female,F,2,0.00%
,3-5 years,5-Mar,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,Male,M,2,0.00%
Total,3-5 years,5-Mar,DIPHTHERIA/TETANUS/WHOLE PERTUSSIS-INACTIVATED POLIO VIRUS-HAEMOPHILUS INFLUENZA B (PENTACOQR),DTPIHI,,,4,0.00%
,3-5 years,5-Mar,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Female,F,6,0.00%
,3-5 years,5-Mar,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Male,M,4,0.00%
Total,3-5 years,5-Mar,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,,,10,0.00%
,3-5 years,5-Mar,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Female,F,22,0.00%
,3-5 years,5-Mar,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Male,M,25,0.00%
,3-5 years,5-Mar,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Unknown,U,3,0.00%
Total,3-5 years,5-Mar,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,,,50,0.01%
,3-5 years,5-Mar,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Female,F,779,0.11%
,3-5 years,5-Mar,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Male,M,891,0.13%
,3-5 years,5-Mar,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Unknown,U,40,0.01%
Total,3-5 years,5-Mar,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,,,1710,0.25%
,3-5 years,5-Mar,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Female,F,6,0.00%
,3-5 years,5-Mar,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Male,M,4,0.00%
,3-5 years,5-Mar,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Unknown,U,1,0.00%
Total,3-5 years,5-Mar,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,,,11,0.00%
,3-5 years,5-Mar,HEPATITIS A,HEPA,Female,F,2332,0.34%
,3-5 years,5-Mar,HEPATITIS A,HEPA,Male,M,2366,0.35%
,3-5 years,5-Mar,HEPATITIS A,HEPA,Unknown,U,93,0.01%
Total,3-5 years,5-Mar,HEPATITIS A,HEPA,,,4791,0.71%
,3-5 years,5-Mar,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Female,F,6,0.00%
,3-5 years,5-Mar,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Male,M,9,0.00%
Total,3-5 years,5-Mar,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,,,15,0.00%
,3-5 years,5-Mar,HEPATITIS B VACCINE,HEP,Female,F,947,0.14%
,3-5 years,5-Mar,HEPATITIS B VACCINE,HEP,Male,M,1083,0.16%
,3-5 years,5-Mar,HEPATITIS B VACCINE,HEP,Unknown,U,35,0.01%
Total,3-5 years,5-Mar,HEPATITIS B VACCINE,HEP,,,2065,0.30%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Female,F,25,0.00%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Male,M,8,0.00%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Unknown,U,12,0.00%
Total,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,,,45,0.01%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Female,F,10,0.00%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Male,M,13,0.00%
,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Unknown,U,12,0.00%
Total,3-5 years,5-Mar,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,,,35,0.01%
,3-5 years,5-Mar,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Female,F,2,0.00%
,3-5 years,5-Mar,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Male,M,2,0.00%
Total,3-5 years,5-Mar,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,,,4,0.00%
,3-5 years,5-Mar,HUMAN PAPILLOVAVIRUS BIVALENT,HPV2,Female,F,1,0.00%
Total,3-5 years,5-Mar,HUMAN PAPILLOVAVIRUS BIVALENT,HPV2,,,1,0.00%
,3-5 years,5-Mar,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Female,F,275,0.04%
,3-5 years,5-Mar,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Male,M,330,0.05%
,3-5 years,5-Mar,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Unknown,U,25,0.00%
Total,3-5 years,5-Mar,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),,,630,0.09%
,3-5 years,5-Mar,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Female,F,240,0.04%
,3-5 years,5-Mar,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Male,M,215,0.03%
,3-5 years,5-Mar,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Unknown,U,4,0.00%
Total,3-5 years,5-Mar,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),,,459,0.07%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Female,F,181,0.03%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Male,M,248,0.04%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Unknown,U,4,0.00%
Total,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),,,433,0.06%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Female,F,644,0.09%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Male,M,828,0.12%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Unknown,U,40,0.01%
Total,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),,,1512,0.22%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Female,F,241,0.04%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Male,M,241,0.04%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Unknown,U,16,0.00%
Total,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),,,498,0.07%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Female,F,34,0.01%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Male,M,49,0.01%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Unknown,U,1,0.00%
Total,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),,,84,0.01%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Female,F,10,0.00%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Male,M,10,0.00%
,3-5 years,5-Mar,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Unknown,U,6,0.00%
